Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,division,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,season,jornada
2005-08-27,Alaves,Barcelona,0.0,0.0,D,0.0,0.0,D,1,5.0,17.0,0.0,10.0,17.0,19.0,3.0,7.0,0.0,1.0,0.0,0.0,05-06,1
2005-08-27,Ath Bilbao,Sociedad,3.0,0.0,H,0.0,0.0,D,1,10.0,9.0,6.0,2.0,13.0,19.0,3.0,4.0,0.0,1.0,0.0,0.0,05-06,1
2005-08-27,Valencia,Betis,1.0,0.0,H,0.0,0.0,D,1,9.0,14.0,2.0,3.0,18.0,14.0,8.0,5.0,2.0,3.0,0.0,0.0,05-06,1
2005-08-28,Ath Madrid,Zaragoza,0.0,0.0,D,0.0,0.0,D,1,16.0,9.0,5.0,2.0,16.0,22.0,8.0,4.0,2.0,7.0,0.0,0.0,05-06,1
2005-08-28,Cadiz,Real Madrid,1.0,2.0,A,0.0,1.0,A,1,15.0,17.0,5.0,6.0,19.0,25.0,8.0,8.0,2.0,2.0,0.0,0.0,05-06,1
2005-08-28,Celta,Malaga,2.0,0.0,H,1.0,0.0,H,1,9.0,10.0,5.0,4.0,19.0,25.0,4.0,11.0,1.0,2.0,0.0,0.0,05-06,1
2005-08-28,Espanol,Getafe,0.0,2.0,A,0.0,0.0,D,1,8.0,16.0,3.0,9.0,23.0,25.0,4.0,2.0,2.0,3.0,0.0,0.0,05-06,1
2005-08-28,Mallorca,La Coruna,0.0,1.0,A,0.0,1.0,A,1,10.0,12.0,3.0,3.0,19.0,19.0,8.0,4.0,2.0,4.0,0.0,0.0,05-06,1
2005-08-28,Osasuna,Villarreal,2.0,1.0,H,1.0,0.0,H,1,8.0,10.0,4.0,3.0,20.0,9.0,2.0,4.0,5.0,2.0,0.0,0.0,05-06,1
2005-08-28,Sevilla,Santander,1.0,0.0,H,1.0,0.0,H,1,18.0,5.0,5.0,3.0,22.0,27.0,9.0,3.0,2.0,3.0,0.0,0.0,05-06,1
2005-09-10,Betis,Osasuna,1.0,0.0,H,0.0,0.0,D,1,15.0,12.0,4.0,3.0,21.0,29.0,4.0,1.0,2.0,6.0,0.0,0.0,05-06,2
2005-09-10,La Coruna,Ath Madrid,1.0,0.0,H,0.0,0.0,D,1,11.0,13.0,5.0,7.0,16.0,22.0,4.0,5.0,2.0,2.0,0.0,0.0,05-06,2
2005-09-10,Real Madrid,Celta,2.0,3.0,A,2.0,2.0,D,1,26.0,14.0,5.0,5.0,20.0,18.0,6.0,4.0,3.0,1.0,0.0,0.0,05-06,2
2005-09-11,Malaga,Espanol,1.0,2.0,A,0.0,0.0,D,1,16.0,6.0,6.0,5.0,16.0,18.0,4.0,4.0,2.0,4.0,0.0,0.0,05-06,2
2005-09-11,Zaragoza,Valencia,2.0,2.0,D,2.0,1.0,H,1,14.0,6.0,7.0,2.0,25.0,20.0,2.0,2.0,1.0,3.0,0.0,0.0,05-06,2
2005-09-11,Villarreal,Sevilla,1.0,1.0,D,0.0,1.0,A,1,12.0,22.0,3.0,9.0,11.0,15.0,7.0,6.0,3.0,1.0,1.0,0.0,05-06,2
2005-09-11,Barcelona,Mallorca,2.0,0.0,H,2.0,0.0,H,1,23.0,6.0,7.0,0.0,13.0,20.0,7.0,3.0,2.0,2.0,0.0,2.0,05-06,2
2005-09-11,Getafe,Ath Bilbao,1.0,1.0,D,1.0,1.0,D,1,11.0,6.0,4.0,2.0,14.0,19.0,6.0,3.0,2.0,1.0,1.0,0.0,05-06,2
2005-09-11,Sociedad,Alaves,2.0,1.0,H,2.0,0.0,H,1,10.0,8.0,5.0,3.0,27.0,14.0,4.0,8.0,0.0,0.0,0.0,0.0,05-06,2
2005-09-11,Santander,Cadiz,0.0,1.0,A,0.0,0.0,D,1,8.0,8.0,2.0,5.0,17.0,12.0,4.0,9.0,1.0,1.0,0.0,0.0,05-06,2
2005-09-17,Valencia,La Coruna,2.0,2.0,D,0.0,1.0,A,1,17.0,11.0,6.0,5.0,22.0,13.0,7.0,3.0,3.0,3.0,1.0,1.0,05-06,3
2005-09-17,Mallorca,Sociedad,5.0,2.0,H,1.0,2.0,A,1,21.0,7.0,11.0,4.0,11.0,19.0,11.0,6.0,0.0,3.0,0.0,0.0,05-06,3
2005-09-18,Ath Bilbao,Malaga,1.0,2.0,A,0.0,0.0,D,1,14.0,9.0,6.0,4.0,16.0,14.0,1.0,2.0,2.0,3.0,0.0,0.0,05-06,3
